date,,,,close
2016/6/14,,,,12.60 
2016/6/15,,,,12.62 
2016/6/16,,,,12.58 
2016/6/17,,,,12.62 
2016/6/20,,,,12.69 
2016/6/21,,,,12.70 
2016/6/22,,,,12.72 
2016/6/24,,,,12.64 
2016/6/27,,,,12.57 
2016/6/28,,,,12.62 
2016/6/29,,,,12.71 
2016/6/30,,,,12.65 
2016/7/1,,,,12.71 
2016/7/5,,,,12.70 
2016/7/6,,,,12.69 
2016/7/7,,,,12.73 
2016/7/8,,,,12.80 
2016/7/11,,,,12.87 
2016/7/12,,,,12.94 
2016/7/13,,,,12.94 
2016/7/14,,,,12.97 
2016/7/15,,,,12.97 
2016/7/18,,,,12.98 
2016/7/19,,,,13.05 
2016/7/20,,,,12.99 
2016/7/21,,,,13.00 
2016/7/22,,,,13.07 
2016/7/25,,,,12.98 
2016/7/26,,,,13.00 
2016/7/27,,,,13.02 
2016/7/28,,,,13.03 
2016/7/29,,,,12.88 
2016/8/1,,,,12.87 
2016/8/2,,,,12.84 
2016/8/3,,,,12.84 
2016/8/4,,,,12.89 
2016/8/5,,,,12.92 
2016/8/8,,,,12.94 
2016/8/9,,,,12.97 
2016/8/10,,,,12.99 
2016/8/11,,,,12.98 
2016/8/12,,,,13.00 
2016/8/16,,,,13.09 
2016/8/17,,,,13.02 
2016/8/18,,,,13.03 
2016/8/19,,,,13.04 
2016/8/22,,,,13.04 
2016/8/23,,,,13.04 
2016/8/24,,,,13.04 
2016/8/25,,,,13.11 
2016/8/26,,,,13.11 
2016/8/29,,,,13.12 
2016/8/30,,,,13.12 
2016/8/31,,,,12.95 
2016/9/1,,,,12.94 
2016/9/2,,,,12.97 
2016/9/6,,,,13.01 
2016/9/7,,,,13.02 
2016/9/8,,,,13.02 
2016/9/9,,,,12.96 
2016/9/12,,,,12.95 
2016/9/13,,,,12.90 
2016/9/14,,,,12.88 
2016/9/15,,,,12.89 
2016/9/16,,,,12.88 
2016/9/19,,,,12.90 
2016/9/20,,,,12.91 
2016/9/21,,,,12.94 
2016/9/22,,,,13.07 
2016/9/23,,,,13.01 
2016/9/26,,,,13.05 
2016/9/27,,,,13.00 
2016/9/28,,,,13.01 
2016/9/29,,,,13.09 
2016/9/30,,,,12.95 
2016/10/3,,,,12.96 
2016/10/4,,,,12.96 
2016/10/5,,,,12.98 
2016/10/6,,,,12.99 
2016/10/7,,,,12.99 
2016/10/10,,,,13.00 
2016/10/11,,,,13.00 
2016/10/12,,,,12.99 
2016/10/13,,,,12.99 
2016/10/14,,,,13.00 
2016/10/17,,,,12.99 
2016/10/18,,,,13.02 
2016/10/19,,,,13.06 
2016/10/20,,,,13.07 
2016/10/21,,,,13.08 
2016/10/24,,,,13.09 
2016/10/25,,,,13.17 
2016/10/26,,,,13.13 
2016/10/27,,,,13.02 
2016/10/28,,,,13.07 
2016/10/31,,,,12.89 
2016/11/2,,,,12.81 
2016/11/3,,,,12.82 
2016/11/4,,,,12.81 
2016/11/7,,,,12.85 
2016/11/8,,,,12.87 
2016/11/9,,,,12.78 
2016/11/10,,,,12.74 
2016/11/11,,,,12.72 
2016/11/14,,,,12.61 
2016/11/15,,,,12.67 
2016/11/16,,,,12.69 
2016/11/17,,,,12.69 
2016/11/18,,,,12.66 
2016/11/21,,,,12.70 
2016/11/22,,,,12.72 
2016/11/23,,,,12.71 
2016/11/25,,,,12.78 
2016/11/28,,,,12.80 
2016/11/29,,,,12.80 
2016/11/30,,,,12.67 
2016/12/1,,,,12.64 
2016/12/2,,,,12.67 
2016/12/5,,,,12.71 
2016/12/6,,,,12.75 
2016/12/7,,,,12.81 
2016/12/8,,,,12.82 
2016/12/9,,,,12.82 
2016/12/12,,,,12.85 
2016/12/13,,,,12.86 
2016/12/14,,,,12.85 
2016/12/15,,,,12.81 
2016/12/16,,,,12.81 
2016/12/19,,,,12.83 
2016/12/20,,,,12.84 
2016/12/21,,,,12.87 
2016/12/22,,,,12.88 
2016/12/23,,,,12.90 
2016/12/27,,,,12.97 
2016/12/28,,,,12.91 
