Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,63.00,63.30,62.45,62.55,9818000,62.55
2015-08-17,63.30,63.30,62.70,62.90,13810000,62.90
2015-08-14,63.45,63.75,63.15,63.30,8384000,63.30
2015-08-13,63.45,63.90,63.35,63.55,16124000,63.55
2015-08-12,64.25,64.45,63.00,63.45,24174000,63.45
2015-08-11,65.30,65.80,64.40,64.55,17378000,64.55
2015-08-10,64.60,64.75,64.00,64.55,10067000,64.55
2015-08-07,64.50,65.00,64.20,64.70,6874000,64.70
2015-08-06,66.00,66.05,64.55,65.00,23581000,65.00
2015-08-05,65.55,66.00,65.30,65.70,9857000,65.70
2015-08-04,65.50,66.00,65.00,65.30,12273000,65.30
2015-08-03,65.90,65.90,64.90,65.25,15733000,65.25
2015-07-31,66.50,66.55,65.80,66.15,11151000,66.15
2015-07-30,65.60,66.55,65.55,66.50,7441000,66.50
2015-07-29,65.90,65.90,65.10,65.40,18445000,65.40
2015-07-28,65.75,66.30,65.50,65.85,17498000,65.85
2015-07-27,66.40,66.55,65.55,65.80,28397000,65.80
2015-07-24,67.05,67.25,66.50,66.75,19915000,66.75
2015-07-23,67.50,67.85,66.85,67.15,20963000,67.15
2015-07-22,68.20,68.30,67.70,67.80,14120000,67.80
2015-07-21,68.35,68.65,68.00,68.65,3337000,68.65
2015-07-20,69.00,69.20,67.80,68.00,7818000,68.00
2015-07-17,68.35,68.65,68.30,68.50,3425000,68.50
2015-07-16,68.60,68.95,68.20,68.60,6927000,68.60
2015-07-15,68.30,68.65,68.00,68.25,8853000,68.25
2015-07-14,68.30,68.70,68.05,68.10,9602000,68.10
2015-07-13,68.00,68.10,67.20,68.10,15774000,68.10
2015-07-09,66.80,67.35,66.10,67.10,33048000,67.10
2015-07-08,69.20,69.20,67.45,67.50,37707000,67.50
2015-07-07,69.65,70.10,69.45,69.60,4698000,69.60
2015-07-06,69.55,70.05,69.20,69.30,7572000,69.30
2015-07-03,70.00,70.20,69.25,70.10,7754000,70.10
2015-07-02,70.20,70.25,69.85,70.10,4334000,70.10
